team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NSH,2021,NSH,NSH,Team Level,4on5,79,0.08,0.1,0.11,24648.0,51.56,4.53,2.6,7.0,1.49,16.35,37.03,4.46,4.53,4.46,50.0,19.0,11.0,80.0,2.0,0.0,0.0,5.0,1.0,11.0,50.0,48.0,67.0,17.0,34.0,225.0,63.0,48.0,38.0,49.0,18.0,2.0,1.69,2.15,0.69,1.0,1.0,0.0,80.0,69.0,69.0,34.0,0.6,0.0,0.0,5.12,5.12,5.05,392.46,49.47,34.84,78.86,12.98,242.01,125.84,46.18,49.47,46.18,393.0,151.0,177.0,721.0,51.0,37.0,8.0,83.0,22.0,211.0,140.0,342.0,493.0,20.0,43.0,225.0,33.0,20.0,55.0,384.0,103.0,57.0,9.91,12.59,26.98,10.0,13.0,28.0,721.0,544.0,544.0,4.0,8.95,7.91,7.91,50.52,50.52,47.44
NSH,2021,NSH,NSH,Team Level,5on4,79,0.88,0.87,0.85,22127.0,337.57,52.16,29.4,66.41,11.65,209.37,108.0,49.28,52.16,49.28,348.0,129.0,149.0,626.0,58.0,32.0,12.0,76.0,6.0,160.0,145.0,290.0,419.0,13.0,27.0,232.0,28.0,20.0,79.0,304.0,110.0,63.0,9.45,12.46,30.26,11.0,11.0,36.0,626.0,477.0,477.0,8.0,7.74,8.76,8.76,51.14,51.14,48.91,61.56,7.43,3.44,8.51,2.11,19.28,41.22,7.14,7.43,7.14,71.0,11.0,12.0,94.0,5.0,3.0,1.0,8.0,1.0,12.0,53.0,66.0,77.0,7.0,17.0,162.0,65.0,53.0,37.0,49.0,24.0,9.0,1.59,3.12,2.72,2.0,1.0,2.0,94.0,82.0,82.0,32.0,0.79,0.98,0.98,7.24,7.24,7.21
DET,2021,DET,DET,Team Level,other,80,0.37,0.5,0.5,10731.0,154.79,30.03,11.33,28.55,5.14,84.17,53.77,28.32,30.03,28.32,156.0,57.0,61.0,274.0,32.0,7.0,1.0,32.0,3.0,84.0,55.0,124.0,181.0,6.0,12.0,138.0,30.0,23.0,20.0,116.0,58.0,39.0,4.14,7.14,18.76,4.0,8.0,20.0,274.0,213.0,213.0,4.0,3.38,1.79,1.79,31.62,31.62,29.97,156.83,50.07,11.02,24.52,4.97,76.6,48.83,45.36,50.07,45.36,161.0,55.0,61.0,277.0,46.0,15.0,2.0,33.0,10.0,60.0,52.0,115.0,170.0,2.0,4.0,149.0,35.0,19.0,28.0,87.0,55.0,74.0,3.75,7.32,38.99,2.0,9.0,35.0,277.0,216.0,216.0,19.0,3.41,6.45,6.45,47.04,47.04,44.09
DET,2021,DET,DET,Team Level,all,80,0.45,0.47,0.46,291725.0,2278.73,226.58,161.58,510.3,73.34,1236.92,910.28,217.53,225.81,216.77,2360.0,759.0,986.0,4105.0,222.0,188.0,31.0,464.0,71.0,1002.0,1172.0,2138.0,2897.0,280.0,635.0,2203.0,1553.0,458.0,618.0,2215.0,660.0,244.0,65.07,81.59,79.93,71.0,76.0,75.0,4060.71,3119.0,3097.83,339.0,35.88,43.67,43.67,218.79,217.97,212.74,2629.44,276.51,188.91,578.7,83.79,1459.69,1044.4,264.25,279.37,267.04,2703.0,929.0,1061.0,4693.0,304.0,169.0,31.0,593.0,73.0,1148.0,1345.0,2399.0,3328.0,282.0,635.0,2252.0,1531.0,410.0,538.0,2534.0,835.0,263.0,76.43,102.26,97.82,103.0,103.0,98.0,4788.8,3632.0,3683.86,310.0,41.69,37.51,38.41,279.78,282.58,274.07
DET,2021,DET,DET,Team Level,5on5,80,0.46,0.46,0.46,239651.0,1786.24,158.68,121.18,415.95,57.41,967.46,726.32,153.26,157.92,152.5,1859.0,588.0,802.0,3249.0,155.0,151.0,26.0,381.0,57.0,754.0,949.0,1704.0,2292.0,251.0,575.0,1722.0,1435.0,371.0,518.0,1800.0,489.0,158.0,53.04,60.85,44.81,59.0,58.0,38.0,3204.71,2447.0,2425.83,307.0,25.14,35.56,35.56,148.27,147.44,145.23,2113.35,182.96,145.87,485.16,67.34,1184.07,858.6,177.64,185.82,180.43,2166.0,758.0,868.0,3792.0,198.0,132.0,24.0,490.0,58.0,928.0,1118.0,1968.0,2726.0,260.0,589.0,1716.0,1402.0,344.0,449.0,2120.0,666.0,138.0,63.43,81.33,38.19,81.0,77.0,40.0,3887.8,2924.0,2975.86,264.0,30.13,27.41,27.41,185.67,188.47,184.98
DET,2021,DET,DET,Team Level,4on5,80,0.14,0.15,0.16,20666.0,60.75,5.99,2.91,8.2,1.76,18.3,42.84,5.92,5.99,5.92,71.0,9.0,13.0,93.0,4.0,4.0,0.0,6.0,1.0,16.0,49.0,67.0,76.0,10.0,20.0,143.0,60.0,46.0,27.0,54.0,16.0,10.0,1.38,1.92,2.69,0.0,2.0,2.0,93.0,80.0,80.0,27.0,0.68,1.07,1.07,5.59,5.59,5.57,299.09,37.14,28.83,60.46,9.65,179.65,95.26,35.0,37.14,35.0,304.0,107.0,127.0,538.0,51.0,20.0,4.0,66.0,5.0,151.0,118.0,253.0,360.0,6.0,14.0,218.0,22.0,9.0,36.0,272.0,96.0,43.0,7.65,11.29,18.21,17.0,15.0,19.0,538.0,411.0,411.0,2.0,7.41,3.32,4.22,40.33,40.33,38.28
DET,2021,DET,DET,Team Level,5on4,80,0.83,0.85,0.82,20677.0,276.94,31.88,26.16,57.6,9.02,166.99,87.35,30.02,31.88,30.02,274.0,105.0,110.0,489.0,31.0,26.0,4.0,45.0,10.0,148.0,119.0,243.0,348.0,13.0,28.0,200.0,28.0,18.0,53.0,245.0,97.0,37.0,6.51,11.69,13.68,8.0,8.0,15.0,489.0,379.0,379.0,1.0,6.69,5.24,5.24,33.32,33.32,31.97,60.16,6.34,3.2,8.55,1.82,19.37,41.72,6.25,6.34,6.25,72.0,9.0,5.0,86.0,9.0,2.0,1.0,4.0,0.0,9.0,57.0,63.0,72.0,14.0,28.0,169.0,72.0,38.0,25.0,55.0,18.0,8.0,1.6,2.32,2.42,3.0,2.0,4.0,86.0,81.0,81.0,25.0,0.73,0.33,0.33,6.74,6.74,6.71
WSH,2021,WSH,WSH,Team Level,other,79,0.55,0.5,0.52,10130.0,159.53,36.44,11.75,28.0,5.26,85.13,52.43,34.31,36.44,34.31,163.0,56.0,59.0,278.0,38.0,11.0,1.0,18.0,6.0,80.0,66.0,125.0,181.0,8.0,16.0,133.0,48.0,19.0,22.0,120.0,50.0,49.0,4.57,6.6,25.27,5.0,8.0,25.0,278.0,219.0,219.0,15.0,3.36,3.41,3.41,36.4,36.4,34.81,145.28,29.71,11.06,26.58,4.77,79.1,47.78,28.34,29.71,28.34,139.0,60.0,75.0,274.0,38.0,15.0,8.0,21.0,8.0,69.0,48.0,101.0,161.0,7.0,14.0,142.0,28.0,20.0,30.0,108.0,54.0,37.0,4.16,6.95,18.61,7.0,9.0,22.0,274.0,199.0,199.0,15.0,3.22,4.16,4.16,28.78,28.78,27.9
WSH,2021,WSH,WSH,Team Level,all,79,0.52,0.51,0.52,288708.0,2475.89,236.14,171.36,568.97,79.96,1386.66,1002.93,227.39,237.7,228.98,2482.0,964.0,1038.0,4484.0,266.0,184.0,27.0,554.0,73.0,1066.0,1303.0,2216.0,3180.0,257.0,553.0,2156.0,2010.0,522.0,587.0,2580.0,641.0,225.0,75.77,78.12,82.23,103.0,83.0,80.0,4529.42,3446.0,3473.58,334.0,37.7,37.68,37.68,236.15,237.92,232.61,2318.41,219.26,164.34,538.09,76.22,1297.74,941.35,210.12,218.9,209.8,2295.0,942.0,1120.0,4357.0,230.0,199.0,46.0,490.0,61.0,1044.0,1213.0,2065.0,3007.0,288.0,611.0,2400.0,1858.0,631.0,634.0,2374.0,647.0,216.0,66.59,79.22,73.45,77.0,73.0,80.0,4351.95,3237.0,3237.74,399.0,36.29,43.04,43.4,212.15,211.72,206.02
WSH,2021,WSH,WSH,Team Level,5on5,79,0.5,0.5,0.51,235556.0,1935.14,153.93,128.4,464.43,62.62,1081.66,807.97,149.75,155.5,151.33,1918.0,781.0,829.0,3528.0,176.0,139.0,18.0,468.0,51.0,823.0,1042.0,1742.0,2523.0,224.0,485.0,1686.0,1841.0,418.0,490.0,2076.0,503.0,120.0,60.69,60.83,32.4,83.0,67.0,26.0,3573.42,2699.0,2726.58,289.0,26.53,24.88,24.88,155.57,157.34,155.1,1837.55,151.65,124.84,442.59,60.39,1030.93,757.61,147.04,151.3,146.72,1814.0,754.0,915.0,3483.0,151.0,155.0,33.0,412.0,46.0,817.0,987.0,1663.0,2417.0,261.0,557.0,1832.0,1734.0,520.0,520.0,1936.0,494.0,138.0,54.19,59.97,37.5,63.0,49.0,39.0,3477.95,2568.0,2568.74,343.0,25.78,31.68,32.07,145.36,144.94,142.74
WSH,2021,WSH,WSH,Team Level,4on5,79,0.15,0.15,0.16,20635.0,51.52,5.55,2.94,7.1,1.58,16.89,35.93,5.52,5.55,5.52,55.0,15.0,15.0,85.0,7.0,1.0,0.0,4.0,1.0,8.0,49.0,48.0,63.0,10.0,22.0,155.0,74.0,50.0,30.0,48.0,14.0,8.0,1.47,1.85,2.23,3.0,1.0,3.0,85.0,70.0,70.0,26.0,0.67,0.2,0.2,6.01,6.01,6.0,266.7,32.53,25.07,58.66,8.98,164.13,84.62,29.43,32.53,29.43,266.0,108.0,119.0,493.0,34.0,26.0,4.0,49.0,5.0,144.0,116.0,232.0,340.0,12.0,24.0,197.0,33.0,22.0,51.0,252.0,89.0,33.0,6.35,11.08,15.12,6.0,14.0,14.0,493.0,374.0,374.0,9.0,6.49,6.55,6.55,32.48,32.48,29.89
WSH,2021,WSH,WSH,Team Level,5on4,79,0.88,0.85,0.83,22387.0,329.7,40.21,28.27,69.44,10.51,202.99,106.58,37.81,40.21,37.81,346.0,112.0,135.0,593.0,45.0,33.0,8.0,64.0,15.0,155.0,146.0,301.0,413.0,15.0,30.0,182.0,47.0,35.0,45.0,336.0,74.0,48.0,9.03,8.86,22.32,12.0,7.0,26.0,593.0,458.0,458.0,4.0,7.14,9.18,9.18,38.16,38.16,36.7,68.87,5.36,3.37,10.26,2.08,23.58,51.35,5.31,5.36,5.31,76.0,20.0,11.0,107.0,7.0,3.0,1.0,8.0,2.0,14.0,62.0,69.0,89.0,8.0,16.0,229.0,63.0,69.0,33.0,78.0,10.0,8.0,1.9,1.23,2.23,1.0,1.0,5.0,107.0,96.0,96.0,32.0,0.79,0.66,0.62,5.53,5.53,5.5
NYR,2021,NYR,NYR,Team Level,other,79,0.69,0.53,0.56,9915.0,149.71,38.27,10.35,26.32,4.88,74.14,51.03,34.2,38.27,34.2,154.0,51.0,45.0,250.0,33.0,16.0,3.0,24.0,8.0,59.0,65.0,121.0,172.0,6.0,12.0,107.0,34.0,26.0,26.0,99.0,50.0,56.0,3.88,6.08,28.32,6.0,7.0,20.0,250.0,205.0,205.0,11.0,2.97,5.69,5.69,35.57,35.57,33.04,116.39,17.31,8.58,21.42,3.88,65.16,44.65,16.55,17.31,16.55,119.0,42.0,63.0,224.0,15.0,5.0,2.0,12.0,7.0,53.0,69.0,104.0,146.0,8.0,16.0,106.0,23.0,27.0,22.0,96.0,43.0,22.0,3.94,5.13,8.25,4.0,3.0,8.0,224.0,161.0,161.0,7.0,2.38,1.71,1.71,17.98,17.98,17.42
NYR,2021,NYR,NYR,Team Level,all,79,0.51,0.48,0.48,287446.0,2277.83,231.41,158.24,514.72,74.09,1271.93,916.62,219.38,232.29,220.28,2298.0,869.0,957.0,4124.0,241.0,186.0,43.0,540.0,82.0,925.0,1193.0,2057.0,2926.0,271.0,598.0,1974.0,2030.0,586.0,663.0,2333.0,594.0,240.0,65.52,71.27,94.62,80.0,79.0,82.0,4151.16,3167.0,3184.58,347.0,34.93,45.88,45.88,220.46,221.49,214.01,2423.19,219.63,170.11,553.3,79.27,1365.21,992.5,210.53,218.73,209.69,2433.0,947.0,1127.0,4507.0,194.0,199.0,36.0,484.0,72.0,1082.0,1349.0,2239.0,3186.0,256.0,570.0,2142.0,1730.0,546.0,656.0,2522.0,649.0,209.0,73.04,80.28,66.31,69.0,64.0,61.0,4485.86,3380.0,3363.89,330.0,37.13,40.45,40.53,216.24,215.34,210.26
NYR,2021,NYR,NYR,Team Level,5on5,79,0.47,0.47,0.47,237331.0,1741.35,142.33,116.61,411.89,56.63,977.93,719.59,138.02,143.22,138.91,1769.0,656.0,785.0,3210.0,152.0,133.0,29.0,444.0,59.0,689.0,948.0,1617.0,2273.0,244.0,541.0,1528.0,1896.0,482.0,535.0,1841.0,464.0,120.0,51.57,56.05,34.73,65.0,60.0,27.0,3237.16,2425.0,2442.59,295.0,24.0,30.69,30.69,135.64,136.67,134.72,1936.91,158.94,130.06,457.45,63.23,1081.77,803.54,153.98,158.03,153.15,1930.0,765.0,911.0,3606.0,140.0,156.0,30.0,399.0,54.0,844.0,1102.0,1790.0,2555.0,225.0,505.0,1644.0,1634.0,461.0,552.0,2044.0,519.0,132.0,58.98,64.47,35.49,53.0,55.0,32.0,3584.86,2695.0,2678.89,285.0,26.8,30.34,30.42,155.33,154.43,152.13
NYR,2021,NYR,NYR,Team Level,4on5,79,0.13,0.13,0.15,20994.0,60.16,5.75,3.13,8.61,1.8,18.87,41.84,5.69,5.75,5.69,62.0,18.0,12.0,92.0,6.0,3.0,0.0,6.0,2.0,10.0,53.0,56.0,74.0,6.0,12.0,158.0,79.0,52.0,38.0,53.0,20.0,7.0,1.68,2.36,1.71,2.0,2.0,2.0,92.0,80.0,80.0,36.0,0.71,0.22,0.22,6.24,6.24,6.23,318.78,39.57,29.06,67.04,10.59,201.45,106.3,36.2,39.57,36.2,332.0,122.0,143.0,597.0,37.0,36.0,4.0,71.0,10.0,171.0,129.0,295.0,417.0,14.0,28.0,222.0,23.0,17.0,49.0,325.0,78.0,51.0,8.54,9.51,21.51,11.0,6.0,20.0,597.0,454.0,454.0,7.0,7.39,8.34,8.34,38.62,38.62,36.4
NYR,2021,NYR,NYR,Team Level,5on4,79,0.92,0.88,0.87,19206.0,326.61,45.05,28.14,67.89,10.77,200.99,104.16,41.47,45.05,41.47,313.0,144.0,115.0,572.0,50.0,34.0,11.0,66.0,13.0,167.0,127.0,263.0,407.0,15.0,33.0,181.0,21.0,26.0,64.0,340.0,60.0,57.0,8.4,6.78,29.87,7.0,10.0,33.0,572.0,457.0,457.0,5.0,7.25,9.27,9.27,43.02,43.02,40.02,51.12,3.81,2.41,7.38,1.57,16.83,38.0,3.8,3.81,3.8,52.0,18.0,10.0,80.0,2.0,2.0,0.0,2.0,1.0,14.0,49.0,50.0,68.0,9.0,21.0,170.0,50.0,41.0,33.0,57.0,9.0,4.0,1.58,1.17,1.06,1.0,0.0,1.0,80.0,70.0,70.0,31.0,0.56,0.06,0.06,4.3,4.3,4.3
LAK,2021,LAK,LAK,Team Level,other,80,0.58,0.53,0.56,9228.0,148.93,34.32,10.41,26.35,4.99,74.85,54.09,31.87,34.32,31.87,148.0,57.0,45.0,250.0,32.0,16.0,5.0,20.0,7.0,61.0,69.0,116.0,173.0,2.0,4.0,122.0,35.0,18.0,20.0,91.0,68.0,46.0,3.73,8.46,22.13,1.0,5.0,26.0,250.0,205.0,205.0,8.0,2.94,5.28,5.28,31.97,31.97,30.85,118.72,24.39,8.55,20.75,4.13,59.11,42.07,22.74,24.39,22.74,116.0,43.0,59.0,218.0,19.0,10.0,1.0,14.0,8.0,52.0,56.0,97.0,140.0,11.0,22.0,89.0,32.0,24.0,31.0,75.0,48.0,36.0,3.28,6.08,15.03,5.0,4.0,10.0,218.0,159.0,159.0,21.0,2.33,3.24,3.5,23.23,23.23,22.61
LAK,2021,LAK,LAK,Team Level,all,80,0.53,0.54,0.55,292063.0,2785.54,266.22,194.11,638.0,91.62,1536.72,1116.33,254.19,265.6,253.69,2803.0,1040.0,1137.0,4980.0,228.0,248.0,40.0,644.0,89.0,1191.0,1443.0,2575.0,3615.0,267.0,587.0,2282.0,1632.0,435.0,582.0,2788.0,784.0,271.0,81.6,94.93,89.68,65.0,69.0,94.0,4982.27,3843.0,3847.69,425.0,42.77,54.15,54.22,254.76,254.5,248.53,2301.89,235.55,165.12,505.79,74.35,1244.26,915.92,225.34,237.26,226.99,2274.0,867.0,1052.0,4193.0,226.0,205.0,31.0,467.0,91.0,915.0,1237.0,2048.0,2915.0,284.0,613.0,2063.0,2150.0,391.0,607.0,2178.0,720.0,243.0,66.81,87.17,81.56,64.0,97.0,65.0,4217.56,3141.0,3155.2,414.0,36.24,44.89,45.51,226.29,227.66,222.94
LAK,2021,LAK,LAK,Team Level,5on5,80,0.53,0.54,0.55,238198.0,2186.63,183.48,144.72,520.59,71.56,1206.13,890.52,176.96,182.86,176.47,2176.0,841.0,915.0,3932.0,149.0,178.0,28.0,535.0,71.0,946.0,1138.0,2027.0,2868.0,244.0,543.0,1735.0,1498.0,367.0,483.0,2276.0,569.0,172.0,66.86,68.14,48.47,53.0,49.0,47.0,3934.27,3017.0,3021.69,370.0,29.93,37.64,37.83,175.58,175.31,172.4,1788.1,161.36,122.92,409.79,57.4,968.64,724.88,155.71,163.08,157.36,1755.0,690.0,842.0,3287.0,148.0,155.0,21.0,392.0,66.0,683.0,1001.0,1607.0,2297.0,259.0,563.0,1601.0,2016.0,323.0,495.0,1740.0,559.0,146.0,54.04,67.59,39.74,49.0,74.0,25.0,3311.56,2445.0,2459.2,346.0,25.5,32.68,32.98,153.89,155.27,152.94
LAK,2021,LAK,LAK,Team Level,4on5,80,0.15,0.15,0.17,21105.0,67.6,7.33,3.84,8.99,2.27,21.61,46.95,7.25,7.33,7.25,80.0,11.0,10.0,101.0,11.0,3.0,1.0,6.0,1.0,8.0,62.0,69.0,80.0,5.0,10.0,168.0,75.0,31.0,41.0,58.0,23.0,10.0,1.59,2.98,2.76,0.0,5.0,6.0,101.0,91.0,91.0,40.0,0.87,0.51,0.51,7.69,7.69,7.65,328.94,42.57,30.13,66.52,10.9,196.85,104.04,39.89,42.57,39.89,325.0,126.0,144.0,595.0,51.0,37.0,8.0,54.0,12.0,166.0,131.0,274.0,400.0,9.0,18.0,194.0,31.0,7.0,32.0,306.0,95.0,50.0,7.8,11.07,23.71,7.0,17.0,27.0,595.0,451.0,451.0,2.0,7.61,8.18,8.25,41.93,41.93,40.25
LAK,2021,LAK,LAK,Team Level,5on4,80,0.85,0.88,0.86,23532.0,382.39,41.1,35.14,82.07,12.79,234.13,124.77,38.09,41.1,38.09,399.0,131.0,167.0,697.0,36.0,51.0,6.0,83.0,10.0,176.0,174.0,363.0,494.0,16.0,30.0,257.0,24.0,19.0,38.0,363.0,124.0,43.0,9.43,15.35,16.32,11.0,10.0,15.0,697.0,530.0,530.0,7.0,9.03,10.72,10.6,39.52,39.52,37.62,66.13,7.22,3.52,8.74,1.93,19.66,44.93,7.0,7.22,7.0,78.0,8.0,7.0,93.0,8.0,3.0,1.0,7.0,5.0,14.0,49.0,70.0,78.0,5.0,10.0,179.0,71.0,37.0,49.0,57.0,18.0,11.0,1.7,2.43,3.09,3.0,2.0,3.0,93.0,86.0,86.0,45.0,0.81,0.79,0.79,7.23,7.23,7.14
NJD,2021,NJD,NJD,Team Level,other,79,0.49,0.54,0.56,10270.0,137.44,26.62,9.16,25.43,4.57,74.8,49.43,24.28,26.62,24.28,131.0,59.0,55.0,245.0,23.0,6.0,2.0,30.0,5.0,54.0,72.0,108.0,167.0,3.0,6.0,100.0,26.0,25.0,23.0,106.0,51.0,33.0,4.38,6.18,16.06,6.0,3.0,14.0,245.0,190.0,190.0,10.0,2.62,2.08,2.08,27.15,27.15,24.83,110.02,27.9,7.14,18.79,3.62,53.34,41.21,26.79,27.9,26.79,109.0,43.0,57.0,209.0,33.0,6.0,4.0,14.0,12.0,39.0,48.0,76.0,119.0,5.0,12.0,132.0,32.0,24.0,20.0,75.0,39.0,38.0,2.81,5.02,20.08,9.0,5.0,19.0,209.0,152.0,152.0,4.0,2.06,2.58,2.58,27.38,27.38,26.49
NJD,2021,NJD,NJD,Team Level,all,79,0.5,0.51,0.51,287715.0,2491.46,233.66,166.74,565.34,82.61,1393.7,1015.95,225.19,232.78,224.32,2468.0,990.0,1093.0,4551.0,235.0,161.0,43.0,612.0,97.0,1013.0,1340.0,2233.0,3223.0,250.0,560.0,2127.0,1500.0,628.0,795.0,2509.0,748.0,201.0,76.06,89.64,67.97,68.0,90.0,77.0,4506.71,3458.0,3430.29,439.0,36.31,37.05,37.05,232.93,231.78,225.53,2432.66,233.04,160.01,556.2,79.96,1340.79,1006.0,226.37,235.94,229.21,2435.0,941.0,993.0,4369.0,286.0,154.0,47.0,604.0,109.0,924.0,1299.0,2149.0,3090.0,265.0,596.0,2428.0,1782.0,638.0,698.0,2494.0,669.0,213.0,74.75,80.94,77.35,107.0,87.0,92.0,4441.96,3376.0,3422.65,335.0,34.56,36.35,36.38,231.21,233.85,229.9
NJD,2021,NJD,NJD,Team Level,5on5,79,0.51,0.51,0.5,237207.0,2038.27,173.49,131.78,477.04,66.88,1131.94,842.87,168.87,172.61,167.99,2026.0,798.0,888.0,3712.0,172.0,135.0,35.0,521.0,77.0,813.0,1106.0,1854.0,2652.0,221.0,504.0,1660.0,1393.0,527.0,669.0,2083.0,606.0,135.0,63.09,72.4,38.0,59.0,69.0,44.0,3667.7,2824.0,2796.29,389.0,27.11,29.64,29.68,170.93,169.78,167.03,2010.02,166.56,128.05,478.24,66.06,1114.93,839.16,162.39,169.47,165.23,2012.0,781.0,845.0,3638.0,205.0,124.0,34.0,538.0,83.0,762.0,1081.0,1807.0,2588.0,243.0,550.0,1969.0,1650.0,543.0,572.0,2129.0,529.0,135.0,64.5,63.83,38.23,86.0,69.0,50.0,3710.96,2793.0,2839.65,300.0,26.33,26.48,26.51,166.38,169.02,166.97
NJD,2021,NJD,NJD,Team Level,4on5,79,0.14,0.17,0.17,19128.0,51.14,4.9,2.63,7.41,1.69,17.61,37.75,4.87,4.9,4.87,60.0,12.0,15.0,87.0,5.0,1.0,0.0,4.0,0.0,10.0,52.0,55.0,67.0,9.0,18.0,159.0,47.0,63.0,33.0,52.0,15.0,5.0,1.34,2.1,1.46,1.0,3.0,1.0,87.0,72.0,72.0,31.0,0.61,0.04,0.0,5.51,5.51,5.47,247.28,31.12,21.44,49.86,8.11,152.33,81.14,29.96,31.12,29.96,244.0,100.0,81.0,425.0,35.0,21.0,7.0,45.0,12.0,111.0,120.0,209.0,309.0,12.0,24.0,166.0,21.0,21.0,78.0,237.0,75.0,32.0,5.86,8.91,16.35,9.0,6.0,20.0,425.0,344.0,344.0,9.0,5.42,6.17,6.17,30.36,30.36,29.47
NJD,2021,NJD,NJD,Team Level,5on4,79,0.79,0.84,0.81,21110.0,264.6,28.66,23.17,55.46,9.46,169.35,85.89,27.18,28.66,27.18,251.0,121.0,135.0,507.0,35.0,19.0,6.0,57.0,15.0,136.0,110.0,216.0,337.0,17.0,32.0,208.0,34.0,13.0,70.0,268.0,76.0,28.0,7.24,8.96,12.45,2.0,15.0,18.0,507.0,372.0,372.0,9.0,5.98,5.29,5.29,29.34,29.34,28.2,65.34,7.45,3.36,9.32,2.18,20.19,44.5,7.24,7.45,7.24,70.0,17.0,10.0,97.0,13.0,3.0,2.0,7.0,2.0,12.0,50.0,57.0,74.0,5.0,10.0,161.0,79.0,50.0,28.0,53.0,26.0,8.0,1.58,3.18,2.69,3.0,7.0,3.0,97.0,87.0,87.0,22.0,0.76,1.12,1.12,7.09,7.09,6.97
BOS,2021,BOS,BOS,Team Level,other,79,0.52,0.48,0.48,13000.0,147.47,34.82,9.78,26.48,4.93,72.12,50.87,29.66,34.82,29.66,147.0,52.0,57.0,256.0,30.0,13.0,1.0,28.0,5.0,63.0,60.0,117.0,169.0,12.0,24.0,160.0,41.0,28.0,33.0,106.0,44.0,49.0,4.12,5.59,25.12,6.0,7.0,17.0,256.0,199.0,199.0,15.0,2.92,4.85,4.95,32.8,32.8,30.08,154.1,32.03,10.61,27.9,5.07,83.13,54.4,31.24,32.03,31.24,154.0,61.0,64.0,279.0,24.0,10.0,2.0,30.0,5.0,75.0,71.0,130.0,191.0,5.0,10.0,148.0,47.0,23.0,29.0,116.0,54.0,45.0,4.31,6.63,21.08,4.0,2.0,18.0,279.0,215.0,215.0,11.0,3.01,2.43,2.43,32.48,32.48,31.92
BOS,2021,BOS,BOS,Team Level,all,79,0.54,0.54,0.55,286777.0,2692.44,248.49,180.9,618.51,87.27,1486.69,1095.46,235.55,251.11,237.99,2867.0,898.0,984.0,4749.0,242.0,190.0,46.0,734.0,91.0,1151.0,1357.0,2625.0,3523.0,325.0,719.0,2550.0,2105.0,510.0,654.0,2836.0,695.0,234.0,80.61,85.03,82.84,80.0,84.0,78.0,4812.24,3765.0,3809.38,294.0,39.78,41.99,42.11,242.96,245.04,237.65,2226.99,215.69,151.85,507.63,73.28,1248.16,916.49,207.68,215.07,207.09,2269.0,874.0,976.0,4119.0,211.0,140.0,34.0,585.0,91.0,966.0,1150.0,2058.0,2932.0,291.0,652.0,2162.0,2104.0,614.0,743.0,2352.0,578.0,213.0,65.75,69.96,79.97,67.0,64.0,80.0,4082.17,3143.0,3123.43,354.0,33.77,35.33,35.37,212.0,211.17,206.68
